world,environment,detector_variant,detector,event_decoder,decoder_subset_size,status,failure_modes,score,event_count,motif_count,canonical_motif_recovery,active_signal_cell_coverage_ratio,active_signal_cell_overcapture_ratio,event_history_accuracy,predictive_accuracy_delta,compressibility_index,transition_count,canonical_motif_supports,event_context_accuracy,collapsed_static_accuracy,recurring_three_event_window_fraction,repeated_episode_instance_fraction
branch,spurious,union_default,union_state_window,none,2,failed,overcapture_degradation;motif_loss;history_prediction_failure,0.250198,816,229,0.1,1.1502,0.1502,0.27619,0.27619,0.207528,676,6;10,0.291005,0.0,0.322761,0.064286
branch,spurious,union_fast_decay,union_state_window,none,2,failed,overcapture_degradation;motif_loss;history_prediction_failure,0.257349,788,213,0.1,1.142455,0.142455,0.306818,0.301583,0.190348,648,8;6,0.316092,0.005236,0.281496,0.057143
branch,spurious,union_high_commit,union_state_window,none,2,failed,overcapture_degradation;motif_loss;history_prediction_failure,0.245638,796,205,0.116667,1.137643,0.137643,0.22,0.22,0.197001,656,7;11,0.298851,0.0,0.28876,0.035714
branch,spurious,union_low_threshold,union_state_window,none,2,failed,overcapture;motif_loss;history_prediction_failure,0.204006,782,204,0.2,1.60285,0.60285,0.372881,0.372881,0.248823,642,12;14,0.366667,0.0,0.420319,0.042857
branch,spurious,union_top_intensity_pair,union_state_window,top_intensity_pair,2,failed,coverage_degradation;motif_loss;history_prediction_failure,0.435732,511,78,0.566667,0.839851,0.0,0.64,0.620952,0.35447,371,34;38,0.757576,0.019048,0.536797,0.614286
branch,spurious,union_frequent_subset_pair,union_state_window,frequent_subset_pair,2,failed,coverage_degradation;motif_degradation;history_prediction_failure,0.467669,510,67,0.7,0.854252,0.0,0.654545,0.563636,0.379434,370,42;42,0.72549,0.090909,0.547826,0.635714
branch,spurious,union_consensus_pair,union_state_window,consensus_pair,2,failed,coverage_degradation;motif_loss;history_prediction_failure,0.456474,527,69,0.683333,0.847846,0.0,0.607143,0.553571,0.380016,387,41;41,0.711538,0.053571,0.562753,0.592857
branch,spurious,union_consensus_fast_decay,union_state_window,consensus_pair,2,failed,coverage_degradation;motif_loss;history_prediction_degradation,0.451032,522,83,0.566667,0.844844,0.0,0.716981,0.686981,0.401424,382,45;34,0.814433,0.03,0.628099,0.621429
branch,spurious,sliding_low_consensus_pair,sliding_window,consensus_pair,2,degraded,overcapture_degradation;motif_degradation;history_prediction_degradation,0.746998,432,35,0.916667,1.214416,0.214416,0.928571,0.928571,0.503777,292,57;55,0.931034,0.0,0.75,0.785714
branch,spurious,hybrid_fast_consensus_pair,hybrid_state_window,consensus_pair,2,failed,undercapture,0.563379,435,31,0.966667,0.608562,0.0,1.0,1.0,0.511874,295,58;59,1.0,0.0,0.780645,0.842857
